state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
105452,3960,520,7058,-209,-229,157,3744,0,6,8,0,46257,131,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,2022,
105462,4262,640,7328,-231,-217,180,3742,0,1,-3,0,46260,139,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,105459,
105472,4516,622,7694,-214,-159,206,3740,0,-13,4,0,46259,138,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1449,0,105469,
105482,4608,644,7806,-195,-100,204,3743,0,2,3,0,46255,139,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,105479,
105492,4636,746,7760,-144,5,194,3743,0,1,1,0,46260,140,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,105489,
105502,4656,756,7632,-119,88,169,3745,0,2,0,0,46266,135,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,105499,
105512,4508,660,7320,-99,178,134,3746,0,7,1,0,46264,143,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1453,0,105508,
105522,4406,646,7118,-94,203,113,3741,0,-1,5,0,46258,140,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,105518,
105532,4216,486,6866,-101,237,97,3745,0,13,1,0,46260,142,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1455,0,105528,
105542,4102,498,6754,-119,271,102,3745,0,3,5,0,46266,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,105538,
105552,3952,496,6654,-145,290,128,3742,0,-1,3,0,46267,146,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1457,0,105549,
105562,3894,490,6612,-174,304,153,3743,0,0,4,0,46258,146,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,105559,
105572,4042,524,6592,-223,333,189,3746,0,10,2,0,46255,136,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,105569,
105582,3956,504,6794,-260,369,221,3743,0,-3,-2,0,46257,135,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,105579,
105592,4026,494,7012,-303,444,271,3744,0,8,2,0,46258,133,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,105589,
105602,3990,534,7184,-323,513,317,3745,0,3,5,0,46252,135,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,105599,
105612,3918,470,7394,-363,605,373,3743,0,-10,1,0,46248,141,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,105609,
105622,3896,374,7498,-366,647,407,3745,0,13,7,0,46249,132,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,105618,
105632,3966,500,7372,-389,747,472,3744,-1,5,4,0,46251,125,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,105628,
105642,3868,506,7404,-389,777,507,3745,0,7,4,0,46251,126,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,105638,
105652,3994,440,7302,-377,824,538,3742,-1,-4,2,0,46246,133,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,105648,
105662,3992,382,7270,-374,850,558,3745,0,6,1,0,46252,131,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,105658,
105672,3992,390,7220,-376,867,560,3745,0,5,5,0,46258,123,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,105668,
105682,3954,404,7264,-369,842,559,3743,0,11,3,0,46255,144,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1462,0,105678,
105692,3974,342,7372,-347,781,531,3746,0,2,2,0,46248,146,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,105688,
105702,3906,242,7520,-315,723,494,3744,0,14,3,0,46244,137,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,105698,
105712,3734,240,7654,-233,591,419,3745,0,2,4,0,46249,136,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,105708,
105722,3612,200,7702,-173,499,361,3745,0,6,6,0,46253,127,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1463,0,105718,
105732,3462,110,7662,-79,348,267,3745,0,0,0,0,46247,134,24,144,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,105728,
105742,3470,70,7616,-25,262,201,3744,0,6,7,0,46245,139,25,144,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,105738,
