state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
2526029,-3454,3580,6632,-98,-244,-138,3756,0,1,-2,0,49466,171,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,2056,
2526039,-3494,3550,6684,-110,-217,-133,3751,0,2,3,0,49470,155,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,2526039,
2526049,-3454,3488,6620,-126,-176,-125,3755,0,0,0,0,49469,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526048,
2526059,-3406,3402,6578,-131,-152,-120,3752,0,4,-1,0,49466,156,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,2526058,
2526069,-3512,3464,6552,-141,-131,-118,3754,0,-2,-3,0,49465,162,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,2526068,
2526079,-3622,3446,6526,-142,-117,-112,3754,0,8,2,0,49465,152,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,2526078,
2526089,-3546,3416,6534,-159,-78,-110,3753,0,-7,4,0,49464,149,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526088,
2526099,-3590,3410,6556,-154,-78,-110,3752,0,3,-4,0,49464,146,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526098,
2526109,-3398,3398,6468,-132,-61,-95,3756,1,7,0,0,49460,149,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526108,
2526119,-3518,3320,6480,-123,-46,-86,3754,0,-6,-8,0,49459,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526118,
2526129,-3398,3238,6374,-109,-40,-82,3751,0,0,7,0,49457,171,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526128,
2526139,-3454,3208,6388,-83,-29,-78,3753,0,6,1,0,49459,169,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526138,
2526149,-3590,3140,6418,-58,1,-78,3750,0,-6,-1,0,49462,169,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,2526148,
2526159,-3512,3154,6342,-29,12,-88,3755,0,4,2,0,49459,167,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526158,
2526169,-3646,3158,6458,1,12,-84,3753,0,-2,-4,0,49456,171,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526168,
2526179,-3532,3104,6446,23,40,-82,3755,0,-1,0,0,49454,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526178,
2526189,-3478,3066,6360,82,37,-84,3752,0,-3,0,0,49456,154,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526188,
2526199,-3442,3088,6334,111,58,-84,3751,-1,-14,2,0,49460,159,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526198,
2526209,-3492,3034,6334,145,55,-90,3751,0,-10,2,0,49461,168,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526208,
2526219,-3414,3096,6312,167,51,-83,3752,0,-6,4,0,49459,167,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526218,
2526229,-3384,3120,6312,178,27,-57,3752,0,-8,0,0,49458,160,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526228,
2526239,-3404,3128,6336,183,10,-40,3754,0,4,3,0,49458,170,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526238,
2526249,-3362,3140,6296,198,14,-24,3756,0,3,5,0,49460,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526248,
2526259,-3404,3160,6360,205,16,-19,3752,0,0,-4,0,49463,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526258,
2526269,-3488,3232,6314,211,6,-15,3755,0,-2,3,0,49463,165,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526268,
2526279,-3498,3234,6276,200,1,-2,3753,0,1,-3,0,49460,163,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526278,
2526289,-3514,3308,6290,183,-31,6,3756,0,14,1,0,49459,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526288,
2526299,-3512,3316,6320,178,-46,10,3751,0,3,1,0,49456,165,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526298,
2526309,-3464,3344,6370,152,-62,16,3754,0,4,1,0,49459,166,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526308,
2526319,-3420,3398,6376,126,-75,20,3753,0,-5,-1,0,49461,166,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526318,
2526329,-3454,3408,6428,90,-99,23,3756,1,12,-2,0,49465,162,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526328,
2526339,-3484,3436,6444,60,-105,23,3753,0,3,0,0,49466,151,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526338,
2526349,-3536,3462,6446,27,-108,23,3754,0,5,0,0,49462,151,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526348,
2526359,-3532,3452,6474,25,-97,18,3755,0,8,5,0,49465,153,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526359,
2526369,-3478,3428,6512,6,-90,5,3751,0,-1,-4,0,49468,174,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526368,
2526379,-3508,3452,6484,1,-77,-6,3753,0,-3,0,0,49465,173,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526378,
2526389,-3492,3440,6432,-10,-74,-12,3751,0,-14,-3,0,49462,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526388,
2526399,-3504,3462,6424,-21,-72,-15,3751,0,1,-3,0,49460,158,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526398,
2526409,-3476,3480,6468,-9,-58,-30,3753,0,2,-2,0,49465,158,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526408,
2526419,-3504,3472,6468,-9,-49,-36,3756,0,10,-7,0,49464,163,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526418,
2526429,-3476,3442,6472,2,-45,-40,3756,1,-4,-1,0,49461,166,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526428,
2526439,-3496,3452,6468,10,-46,-37,3756,0,5,2,0,49462,166,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526438,
2526449,-3462,3396,6486,13,-61,-33,3753,0,-5,2,0,49467,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1492,0,2526448,
2526459,-3430,3382,6494,12,-70,-28,3750,0,-3,3,0,49471,153,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526458,
2526469,-3402,3340,6532,24,-78,-16,3752,0,0,-2,0,49471,162,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526468,
2526479,-3422,3366,6514,13,-77,-15,3753,0,-13,-3,0,49468,160,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526478,
2526489,-3384,3344,6468,7,-76,-11,3753,0,-5,3,0,49465,156,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526488,
2526499,-3402,3396,6484,1,-73,0,3753,0,14,-3,0,49470,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526498,
2526509,-3396,3340,6454,-15,-75,6,3753,0,-2,0,0,49476,154,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526508,
2526519,-3394,3328,6500,-28,-78,17,3751,0,-3,0,0,49477,157,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526518,
2526529,-3376,3320,6484,-45,-89,32,3752,0,3,-3,0,49474,155,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526528,
2526539,-3320,3344,6468,-52,-81,34,3755,1,2,0,0,49476,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526538,
2526549,-3312,3342,6470,-55,-78,39,3751,0,3,-1,0,49477,170,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526548,
2526559,-3312,3320,6472,-60,-77,45,3755,0,6,-4,0,49480,161,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526558,
2526569,-3296,3308,6452,-66,-65,50,3755,0,-4,-13,0,49494,161,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526568,
2526579,-3324,3330,6494,-61,-68,56,3753,0,2,2,0,49495,167,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526578,
2526589,-3322,3298,6480,-60,-68,60,3755,0,0,-2,0,49500,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526588,
2526599,-3324,3266,6500,-64,-62,59,3752,0,1,1,0,49479,163,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526598,
2526609,-3358,3266,6510,-58,-53,59,3755,0,4,0,0,49469,156,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526608,
2526619,-3348,3282,6510,-59,-56,61,3756,0,5,-4,0,49469,150,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526618,
2526629,-3300,3292,6548,-62,-63,66,3758,1,13,-1,0,49475,159,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526628,
2526639,-3296,3312,6574,-63,-57,69,3756,0,-2,0,0,49475,162,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526638,
2526649,-3270,3308,6586,-61,-55,77,3755,0,-1,-2,0,49472,160,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526648,
2526659,-3270,3314,6630,-54,-55,82,3751,0,-3,4,0,49471,160,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526658,
2526669,-3254,3308,6652,-57,-45,82,3752,0,-3,-5,0,49475,158,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526668,
2526679,-3248,3300,6674,-50,-32,86,3753,0,-2,0,0,49477,163,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526678,
2526689,-3234,3314,6690,-47,-21,87,3752,0,-1,0,0,49473,166,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526688,
2526699,-3196,3312,6760,-45,-10,93,3753,0,2,2,0,49473,167,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526698,
2526709,-3192,3316,6800,-45,6,88,3754,0,2,-2,0,49469,167,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526708,
2526719,-3198,3284,6810,-34,22,90,3752,0,0,-2,0,49474,174,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526718,
2526729,-3200,3320,6808,-28,36,90,3753,0,1,0,0,49471,172,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526728,
2526739,-3198,3308,6790,-22,44,82,3751,0,-1,-2,0,49474,172,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526738,
2526749,-3184,3260,6788,-15,39,83,3751,0,1,4,0,49475,173,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526748,
2526759,-3198,3276,6756,-1,37,82,3753,0,4,-1,0,49477,178,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526758,
2526769,-3226,3240,6724,22,21,89,3753,0,4,-6,0,49478,176,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526768,
2526779,-3180,3250,6730,38,27,87,3753,-1,-6,0,0,49477,176,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526778,
2526789,-3178,3238,6716,58,22,83,3752,0,5,-1,0,49475,173,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526788,
2526799,-3140,3250,6726,72,26,85,3754,0,6,-3,0,49474,170,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526798,
2526809,-3126,3216,6694,85,23,88,3752,0,-11,-3,0,49474,175,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526808,
2526819,-3142,3236,6660,96,26,90,3755,0,2,-2,0,49470,182,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526818,
2526829,-3176,3220,6664,95,13,93,3753,0,-3,-1,0,49468,177,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526828,
2526839,-3182,3234,6694,101,2,96,3754,0,-13,-4,0,49470,165,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,2526838,
2526849,-3142,3230,6650,105,-5,105,3755,0,1,1,0,49474,159,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526848,
2526859,-3124,3274,6650,96,-12,103,3752,0,1,-3,0,49472,165,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526858,
2526869,-3092,3262,6658,111,-13,111,3753,0,-10,0,0,49467,170,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526868,
2526879,-3098,3294,6650,107,-12,116,3754,0,1,0,0,49467,164,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526878,
2526889,-3088,3318,6656,106,2,103,3752,0,-11,-2,0,49469,165,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526888,
2526899,-3134,3336,6606,104,19,100,3755,0,2,0,0,49470,157,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526898,
2526909,-3182,3266,6544,112,28,95,3753,0,11,-3,0,49469,173,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526908,
2526919,-3268,3270,6580,107,26,91,3752,-1,-6,-2,0,49472,177,38,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526918,
2526929,-3300,3334,6572,101,7,96,3753,0,1,-2,0,49474,178,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526928,
2526939,-3344,3334,6548,84,-1,92,3753,0,5,3,0,49476,171,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526938,
2526949,-3406,3326,6534,66,-47,106,3752,0,-7,0,0,49476,170,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1490,0,2526948,
2526959,-3434,3332,6570,62,-84,115,3752,-1,0,-3,0,49474,180,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526958,
2526969,-3324,3398,6612,65,-114,126,3752,0,-10,3,0,49470,173,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526968,
2526979,-3256,3406,6620,60,-117,128,3755,0,10,-2,0,49468,182,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526978,
2526989,-3208,3392,6590,56,-111,123,3753,0,-7,-1,0,49468,179,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526988,
2526999,-3194,3428,6578,60,-116,129,3756,0,1,6,0,49468,181,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2526998,
2527009,-3178,3484,6574,69,-116,131,3754,0,4,-5,0,49467,171,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2527008,
2527019,-3204,3508,6538,75,-114,130,3753,0,-6,0,0,49468,178,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2527018,
2527029,-3162,3542,6530,89,-106,121,3751,0,-12,-4,0,49465,175,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,2527028,
