state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
53979,7636,2950,-1504,108,107,-107,-9179,0,2,2,0,45976,114,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6747,0,2014,
53989,7762,2772,-1452,166,214,-104,-9182,0,8,-2,0,45971,112,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6745,0,53986,
53999,7700,2712,-1402,162,271,-81,-9181,0,7,-6,0,45970,100,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6746,0,53995,
54009,7526,2690,-1410,166,333,-47,-9180,0,-2,0,0,45967,97,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6746,0,54005,
54019,7412,2720,-1444,170,342,-43,-9180,0,7,0,0,45967,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6746,0,54015,
54029,7334,2706,-1502,185,303,-50,-9181,0,0,0,0,45965,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6746,0,54025,
54039,7252,2704,-1444,195,258,-65,-9179,1,-3,0,0,45967,117,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6748,0,54035,
54049,7314,2718,-1434,210,145,-105,-9179,0,5,-6,0,45966,117,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6748,0,54045,
54059,7444,2832,-1598,206,92,-126,-9180,-1,-8,4,0,45968,120,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6748,0,54055,
54069,7476,2886,-1834,172,104,-121,-9179,0,0,0,0,45969,125,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6749,0,54065,
54079,7530,3000,-1916,151,133,-95,-9183,0,-11,3,0,45967,118,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6748,0,54075,
54089,7578,3170,-2038,135,183,-62,-9176,1,8,10,0,45962,123,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6749,0,54084,
54099,7534,3220,-1952,118,215,-43,-9179,0,10,0,0,45964,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6748,0,54094,
54109,7458,3160,-1826,108,241,-40,-9177,0,4,0,0,45968,103,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6750,0,54103,
54119,7446,3234,-1824,104,243,-43,-9179,0,-1,-2,0,45975,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6749,0,54113,
54129,7478,3244,-1702,90,223,-55,-9180,0,-11,-1,0,45976,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6750,0,54123,
54139,7476,3246,-1650,76,212,-73,-9180,0,-6,1,0,45969,121,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6750,0,54133,
54149,7466,3204,-1612,58,205,-106,-9179,0,0,0,0,45965,118,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6751,0,54143,
54159,7468,3200,-1620,37,232,-122,-9176,0,6,2,0,45970,116,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6751,0,54153,
54169,7426,3146,-1544,31,259,-144,-9178,1,4,3,0,45973,113,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6752,0,54163,
54179,7406,3096,-1504,46,267,-160,-9179,0,11,0,0,45973,108,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6753,0,54173,
54189,7412,3072,-1412,71,226,-184,-9182,0,-11,6,0,45973,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6754,0,54183,
54199,7322,3016,-1410,83,180,-207,-9179,0,3,-3,0,45978,114,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6755,0,54193,
54209,7312,3030,-1506,95,131,-251,-9178,0,11,7,0,45978,118,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6756,0,54203,
54219,7312,3056,-1576,104,97,-268,-9181,-1,-12,6,0,45978,116,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6757,0,54213,
54229,7340,3086,-1554,105,64,-300,-9182,-1,-13,11,0,45980,112,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,54223,
54239,7402,3114,-1468,95,67,-305,-9179,0,-1,-4,0,45983,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6761,0,54233,
54249,7406,3070,-1418,95,65,-282,-9180,0,7,8,0,45984,108,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6763,0,54243,
54259,7382,3116,-1448,103,45,-262,-9177,0,1,2,0,45982,109,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6764,0,54253,
54269,7248,3136,-1412,115,28,-260,-9175,0,0,1,0,45981,105,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6766,0,54263,
54279,7124,3186,-1418,125,7,-266,-9178,0,5,11,0,45989,98,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6766,0,54273,
54289,7228,3332,-1616,155,-63,-303,-9175,0,17,4,0,45990,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6766,0,54283,
54299,7216,3362,-1696,167,-97,-317,-9177,0,-4,-5,0,45986,106,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6767,0,54293,
54309,7234,3460,-1710,173,-128,-332,-9179,0,0,2,0,45985,110,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6767,0,54303,
54319,7278,3502,-1802,176,-110,-338,-9177,0,-2,5,0,45989,108,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,54313,
54329,7354,3556,-1884,181,-44,-320,-9178,0,-1,16,0,45995,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,54323,
54339,7426,3560,-1890,177,-8,-289,-9176,0,8,-1,0,45998,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6768,0,54333,
54349,7520,3430,-1916,174,49,-232,-9181,-1,-3,1,0,45993,101,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54343,
54359,7510,3394,-1916,172,81,-196,-9176,0,2,6,0,45987,104,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54353,
54369,7518,3386,-1892,150,107,-134,-9177,0,-4,13,0,45982,96,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54363,
54379,7540,3358,-1876,130,94,-111,-9176,0,-7,15,0,45986,91,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54373,
54389,7484,3384,-1810,101,54,-102,-9178,0,-5,9,0,45987,80,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54383,
54399,7390,3412,-1836,76,18,-110,-9176,0,-2,16,0,45985,79,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54393,
54409,7338,3474,-1962,36,-11,-147,-9176,0,1,13,0,45983,85,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54403,
54419,7316,3516,-2010,11,-14,-159,-9178,0,-12,4,0,45984,99,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6771,0,54413,
54429,7402,3518,-1906,-37,-15,-171,-9178,0,-8,16,0,45992,112,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6772,0,54423,
54439,7450,3508,-1838,-66,-18,-157,-9178,0,3,9,0,45990,111,22,144,0,0,0,0,0,0,0,0,0,0,0,0,6770,0,54433,
