state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
57162,444,2668,7838,-43,-1,4,-1144,0,-5,15,0,50083,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,2061,
57172,486,2290,7780,-59,2,-17,-1145,0,-4,7,0,50085,153,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57172,
57182,508,2330,7774,-61,-13,-9,-1143,0,4,11,0,50083,165,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57182,
57192,580,2336,7792,-61,-3,-7,-1140,0,10,5,0,50083,163,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57192,
57202,598,2280,7828,-60,-1,-12,-1140,1,7,6,0,50088,156,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6715,0,57202,
57212,586,2306,7798,-51,-10,-6,-1140,0,-1,6,0,50089,144,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57212,
57222,602,2294,7758,-43,-6,-8,-1142,-1,-10,8,0,50082,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6715,0,57222,
57232,686,2262,7668,-52,11,-6,-1142,0,0,6,0,50077,143,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57232,
57242,738,2236,7710,-55,23,-14,-1141,0,3,-4,0,50079,146,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57242,
57252,686,2256,7718,-62,39,-25,-1141,0,14,10,0,50086,154,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57252,
57262,606,2230,7728,-62,44,-22,-1143,0,4,11,0,50095,144,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57262,
57272,532,2232,7792,-69,32,-13,-1144,0,3,6,0,50088,143,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57272,
57282,482,2264,7826,-65,16,-16,-1142,0,10,14,0,50086,155,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57282,
57292,430,2282,7836,-58,-16,-3,-1145,0,-15,2,0,50087,156,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57292,
57302,440,2252,7830,-52,-33,5,-1143,0,-5,14,0,50090,153,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57302,
57312,514,2240,7840,-39,-58,19,-1143,0,1,11,0,50094,148,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57312,
57322,556,2204,7822,-28,-72,27,-1143,0,-5,6,0,50091,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57322,
57332,720,2206,7814,-17,-78,10,-1143,0,-1,5,0,50090,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57332,
57342,786,2190,7692,-27,-66,-3,-1143,0,5,17,0,50101,139,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57342,
57352,756,2306,7690,-38,-22,-14,-1142,0,4,35,0,50113,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57352,
57362,748,2324,7718,-45,-12,-10,-1143,0,-4,22,0,50127,165,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6711,0,57362,
57372,818,2360,7844,-45,4,-33,-1139,0,14,9,0,50126,159,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6711,0,57372,
57382,766,2314,7794,-55,24,-41,-1143,0,5,15,0,50114,152,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57382,
57392,516,2370,7748,-55,51,-6,-1145,-1,3,7,0,50101,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57392,
57402,434,2260,7802,-59,45,19,-1143,0,-13,10,0,50098,143,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57402,
57412,472,2230,7876,-44,-8,32,-1139,1,13,11,0,50092,150,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57412,
57422,510,2184,7858,-32,-37,29,-1141,1,3,8,0,50094,150,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57422,
57432,512,2134,7826,-33,-53,25,-1140,0,12,8,0,50092,149,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57432,
57442,530,2182,7796,-26,-57,20,-1140,0,-6,4,0,50100,131,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57442,
57452,668,2180,7768,-24,-43,10,-1141,0,-4,8,0,50100,133,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57452,
57462,718,2240,7724,-31,-30,12,-1141,0,4,10,0,50103,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57462,
57472,732,2244,7752,-38,4,8,-1140,0,15,17,0,50105,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57472,
57482,732,2282,7734,-39,14,11,-1142,0,0,15,0,50100,144,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57482,
57492,744,2282,7742,-44,36,5,-1140,0,5,2,0,50100,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57493,
57502,688,2274,7776,-53,48,4,-1141,0,-1,12,0,50097,156,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57502,
57512,690,2264,7778,-63,63,6,-1144,0,-4,23,0,50102,167,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57512,
57522,648,2212,7764,-62,71,-6,-1142,0,-4,20,0,50106,164,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57522,
57532,622,2272,7756,-58,76,-5,-1142,0,1,11,0,50104,165,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57532,
57542,568,2230,7774,-54,70,1,-1146,-1,-10,3,0,50102,153,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57542,
57552,554,2220,7806,-52,63,12,-1143,0,-4,14,0,50106,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57552,
57562,600,2230,7812,-57,59,15,-1143,0,13,12,0,50105,139,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57562,
57572,616,2220,7806,-37,45,19,-1140,0,6,17,0,50102,136,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57572,
57582,606,2196,7786,-33,38,23,-1142,-1,1,13,0,50101,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57582,
57592,632,2188,7758,-25,39,19,-1144,0,-18,8,0,50100,140,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57592,
57602,636,2164,7720,-21,36,22,-1142,0,2,11,0,50097,131,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6712,0,57602,
57612,678,2212,7766,-11,40,14,-1143,0,-11,11,0,50098,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57612,
57622,658,2230,7728,-10,40,17,-1143,0,-1,13,0,50099,145,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57622,
57632,658,2260,7718,-16,53,18,-1141,0,1,8,0,50093,150,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57632,
57642,678,2234,7740,-32,69,11,-1140,0,2,6,0,50093,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57642,
57652,694,2252,7800,-40,88,6,-1144,0,-10,6,0,50097,149,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57652,
57662,706,2340,7736,-54,105,4,-1142,0,2,9,0,50099,142,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57662,
57672,672,2306,7742,-68,126,-10,-1143,0,-10,17,0,50094,145,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57672,
57682,650,2288,7790,-72,135,-12,-1142,0,0,7,0,50085,148,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57682,
57692,642,2300,7806,-74,143,-12,-1150,-1,-6,3,0,50087,148,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57692,
57702,598,2316,7794,-75,138,-17,-1142,0,0,8,0,50090,150,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57702,
57712,578,2316,7790,-84,137,-22,-1143,0,-12,14,0,50099,151,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57712,
57722,584,2312,7808,-91,133,-30,-1143,0,6,17,0,50094,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57722,
57732,560,2296,7808,-93,134,-33,-1140,0,15,4,0,50088,149,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57732,
57742,542,2280,7802,-91,132,-34,-1144,0,-6,6,0,50087,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57742,
57752,546,2262,7804,-96,128,-45,-1141,0,4,8,0,50088,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57752,
57762,548,2266,7792,-94,115,-55,-1141,0,8,10,0,50095,137,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57762,
57772,496,2276,7812,-90,112,-56,-1141,0,5,7,0,50094,131,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57772,
57782,502,2288,7820,-83,92,-50,-1144,-1,-14,11,0,50092,137,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57782,
57792,506,2316,7780,-68,72,-42,-1141,0,-8,8,0,50092,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57792,
57802,462,2268,7790,-65,65,-32,-1141,0,-4,8,0,50089,141,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57802,
57812,488,2266,7800,-56,36,-27,-1143,0,7,11,0,50086,138,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57812,
57822,492,2262,7822,-57,24,-22,-1142,0,2,7,0,50083,136,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57822,
57832,486,2238,7816,-45,2,-16,-1143,0,6,6,0,50085,135,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57832,
57842,506,2210,7826,-41,-7,-23,-1143,0,3,-1,0,50090,147,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6714,0,57842,
57852,554,2236,7830,-38,-30,-19,-1142,0,14,6,0,50088,155,25,144,0,0,0,0,0,0,0,0,0,0,0,0,6713,0,57852,
