state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
2021283,-504,-8198,-1252,33,0,-56,31313,0,-3,-2,0,45892,158,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3967,0,2558,
2021284,-512,-8188,-1258,32,-7,-60,31311,0,-8,-2,0,45892,158,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3967,0,2021291,
2021292,-514,-8218,-1232,30,-10,-79,31314,0,-15,-1,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3969,0,2021292,
2021293,-514,-8218,-1232,30,-10,-79,31313,0,-2,-1,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3969,0,2021294,
2021294,-514,-8218,-1232,30,-10,-79,31312,0,1,-1,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3969,0,2021296,
2021295,-514,-8218,-1232,30,-10,-79,31316,0,4,-4,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3969,0,2021297,
2021296,-484,-8202,-1206,30,-1,-83,31311,0,0,-2,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021298,
2021297,-484,-8202,-1206,30,-1,-83,31314,0,5,-3,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021299,
2021298,-484,-8202,-1206,30,-1,-83,31315,0,14,-5,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021299,
2021299,-484,-8202,-1206,30,-1,-83,31314,0,-6,-5,0,45890,160,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021300,
2021300,-508,-8194,-1214,34,-3,-90,31313,0,4,-4,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021301,
2021301,-508,-8194,-1214,34,-3,-90,31313,0,0,-4,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021302,
2021302,-508,-8194,-1214,34,-3,-90,31313,0,14,-2,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021303,
2021303,-508,-8194,-1214,34,-3,-90,31313,0,5,-2,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3970,0,2021304,
2021304,-466,-8206,-1210,20,-8,-96,31313,0,-3,-3,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,2021305,
2021305,-466,-8206,-1210,20,-8,-96,31314,0,8,-3,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,2021306,
2021306,-466,-8206,-1210,20,-8,-96,31316,0,5,-4,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,2021307,
2021307,-466,-8206,-1210,20,-8,-96,31316,0,5,-4,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021308,
2021308,-474,-8210,-1230,27,-5,-100,31313,0,-1,-1,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021309,
2021309,-474,-8210,-1230,27,-5,-100,31314,0,0,-1,0,45895,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021310,
2021310,-474,-8210,-1230,27,-5,-100,31314,0,-2,0,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3972,0,2021311,
2021311,-474,-8210,-1230,27,-5,-100,31310,-1,-10,-1,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3972,0,2021312,
2021312,-482,-8214,-1228,25,-5,-106,31317,0,0,-3,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021313,
2021313,-482,-8214,-1228,25,-5,-106,31312,0,0,-3,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021314,
2021314,-482,-8214,-1228,25,-5,-106,31314,0,1,0,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021315,
2021315,-482,-8214,-1228,25,-5,-106,31311,0,-1,0,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3973,0,2021316,
2021316,-464,-8190,-1250,22,-2,-111,31312,-1,-15,2,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3974,0,2021319,
2021317,-464,-8190,-1250,22,-2,-111,31313,0,5,1,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3974,0,2021320,
2021318,-464,-8190,-1250,22,-2,-111,31315,0,8,1,0,45892,177,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3974,0,2021321,
2021322,-454,-8176,-1258,22,-5,-113,31312,0,-2,1,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021322,
2021323,-454,-8176,-1258,22,-5,-113,31313,0,5,-1,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021323,
2021324,-460,-8198,-1244,27,-5,-122,31315,0,-2,-4,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021324,
2021325,-460,-8198,-1244,27,-5,-122,31314,0,8,-6,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3974,0,2021325,
2021326,-460,-8198,-1244,27,-5,-122,31313,0,-4,-5,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021326,
2021327,-460,-8198,-1244,27,-5,-122,31313,0,-1,-6,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021327,
2021328,-464,-8202,-1258,25,-6,-125,31316,0,2,-8,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021328,
2021329,-464,-8202,-1258,25,-6,-125,31313,0,5,-8,0,45893,171,30,144,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,2021329,
2021330,-464,-8202,-1258,25,-6,-125,31313,0,1,-9,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,2021330,
2021331,-464,-8202,-1258,25,-6,-125,31315,0,1,-8,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,2021331,
2021332,-438,-8218,-1242,20,0,-130,31312,0,-4,-4,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,2021332,
2021333,-438,-8218,-1242,20,0,-130,31316,0,6,-4,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3976,0,2021333,
2021334,-438,-8218,-1242,20,0,-130,31314,0,5,0,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021334,
2021335,-438,-8218,-1242,20,0,-130,31315,0,8,0,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021335,
2021336,-480,-8194,-1250,20,-10,-135,31313,0,4,-1,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021336,
2021337,-480,-8194,-1250,20,-10,-135,31316,0,10,0,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021337,
2021338,-480,-8194,-1250,20,-10,-135,31313,0,-4,4,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021338,
2021339,-480,-8194,-1250,20,-10,-135,31314,0,-7,3,0,45896,166,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021339,
2021340,-450,-8202,-1228,17,-10,-140,31314,0,8,2,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021340,
2021341,-450,-8202,-1228,17,-10,-140,31315,0,-1,0,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021341,
2021342,-450,-8202,-1228,17,-10,-140,31316,0,1,0,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3977,0,2021342,
2021343,-450,-8202,-1228,17,-10,-140,31316,0,3,0,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,2021343,
2021344,-434,-8200,-1234,21,-12,-141,31315,0,-1,-3,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,2021344,
2021345,-434,-8200,-1234,21,-12,-141,31313,0,-6,-2,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,2021345,
2021346,-434,-8200,-1234,21,-12,-141,31314,0,6,-3,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3979,0,2021346,
2021347,-434,-8200,-1234,21,-12,-141,31314,0,-7,-4,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021347,
2021348,-434,-8196,-1246,20,-11,-141,31312,0,-2,-3,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021348,
2021349,-434,-8196,-1246,20,-11,-141,31312,0,-15,-4,0,45902,161,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021349,
2021350,-434,-8196,-1246,20,-11,-141,31313,0,-5,-5,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021350,
2021351,-434,-8196,-1246,20,-11,-141,31313,0,-8,-5,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021351,
2021352,-412,-8178,-1266,20,-9,-146,31314,0,4,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021352,
2021353,-412,-8178,-1266,20,-9,-146,31314,0,2,-1,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3980,0,2021353,
2021354,-412,-8178,-1266,20,-9,-146,31311,0,-11,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021354,
2021355,-412,-8178,-1266,20,-9,-146,31315,0,0,-2,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021355,
2021356,-412,-8208,-1262,25,-11,-144,31317,0,7,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021355,
2021357,-412,-8208,-1262,25,-11,-144,31313,0,-6,2,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3981,0,2021356,
2021358,-412,-8208,-1262,25,-11,-144,31314,0,-5,0,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021357,
2021359,-412,-8208,-1262,25,-11,-144,31314,0,5,1,0,45903,168,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021358,
2021360,-380,-8200,-1278,20,-5,-147,31314,0,-4,1,0,45901,165,29,144,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,2021359,
