state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,
2023035,254,-8152,-1750,-14,42,-19,-36156,0,0,6,0,45654,134,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,6016,
2023036,232,-8162,-1716,-8,46,-25,-36156,0,-5,9,0,45654,134,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023035,
2023037,232,-8162,-1716,-8,46,-25,-36155,1,6,7,0,45654,134,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023036,
2023038,232,-8162,-1716,-8,46,-25,-36156,0,7,5,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023038,
2023039,232,-8162,-1716,-8,46,-25,-36157,0,-6,4,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023040,
2023040,236,-8144,-1730,-6,41,-25,-36156,0,1,4,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023042,
2023041,236,-8144,-1730,-6,41,-25,-36155,0,6,4,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023044,
2023042,236,-8144,-1730,-6,41,-25,-36156,0,4,2,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023046,
2023043,236,-8144,-1730,-6,41,-25,-36156,0,0,-1,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023047,
2023044,254,-8154,-1728,-7,41,-32,-36157,0,-3,-5,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023049,
2023045,254,-8154,-1728,-7,41,-32,-36160,-1,-3,-5,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023051,
2023046,254,-8154,-1728,-7,41,-32,-36153,0,-12,-6,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023053,
2023047,254,-8154,-1728,-7,41,-32,-36156,0,6,-4,0,45658,144,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023055,
2023048,238,-8162,-1732,-7,46,-23,-36158,0,3,-6,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023057,
2023049,238,-8162,-1732,-7,46,-23,-36158,0,-4,-2,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023059,
2023050,238,-8162,-1732,-7,46,-23,-36152,0,3,1,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023061,
2023051,238,-8162,-1732,-7,46,-23,-36157,0,6,3,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023063,
2023052,232,-8164,-1730,-9,42,-33,-36158,0,-7,3,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023065,
2023053,232,-8164,-1730,-9,42,-33,-36159,0,-4,6,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023067,
2023054,232,-8164,-1730,-9,42,-33,-36159,-1,-10,2,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023069,
2023055,232,-8164,-1730,-9,42,-33,-36156,0,1,6,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023071,
2023056,216,-8132,-1738,-6,40,-32,-36158,0,-1,0,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023073,
2023057,216,-8132,-1738,-6,40,-32,-36157,0,-8,2,0,45655,136,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023075,
2023058,216,-8132,-1738,-6,40,-32,-36159,0,-6,-2,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023077,
2023059,216,-8132,-1738,-6,40,-32,-36155,0,-4,-1,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023079,
2023060,230,-8146,-1734,-7,37,-42,-36155,0,17,-3,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023081,
2023061,230,-8146,-1734,-7,37,-42,-36157,0,-4,-1,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023083,
2023062,230,-8146,-1734,-7,37,-42,-36157,0,-10,-2,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023085,
2023063,230,-8146,-1734,-7,37,-42,-36157,0,-1,0,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023087,
2023064,224,-8160,-1744,-9,35,-42,-36155,0,8,2,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023089,
2023065,224,-8160,-1744,-9,35,-42,-36158,0,-12,2,0,45651,142,29,144,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,2023091,
